#  LAT(N)   LON(E)   DEPTH   STEP  DOSE RATE  TOTAL DOSE
-45.6075  72.3900  242.749  306  6.0686E+00  1.9259E+01
-45.6448  72.6058  242.636  307  6.0766E+00  1.9360E+01
-45.6818  72.8218  242.523  308  6.0845E+00  1.9462E+01
-45.7183  73.0381  242.410  309  6.0924E+00  1.9563E+01
-45.7544  73.2548  242.297  310  6.1008E+00  1.9665E+01
-45.7901  73.4716  242.184  311  6.1091E+00  1.9767E+01
-45.8254  73.6888  242.071  312  6.1173E+00  1.9869E+01
-45.8602  73.9062  241.958  313  6.1250E+00  1.9971E+01
-45.8947  74.1240  241.846  314  6.1322E+00  2.0073E+01
-45.9287  74.3419  241.733  315  6.1390E+00  2.0175E+01
-45.9624  74.5602  241.620  316  6.1458E+00  2.0278E+01
-45.9956  74.7787  241.508  317  6.1525E+00  2.0380E+01
-46.0283  74.9974  241.395  318  6.1592E+00  2.0483E+01
-46.0607  75.2165  241.283  319  6.1665E+00  2.0586E+01
-46.0927  75.4357  241.170  320  6.1739E+00  2.0689E+01
-46.1242  75.6553  241.057  321  6.1812E+00  2.0792E+01
-46.1553  75.8750  240.945  322  6.1885E+00  2.0895E+01
-46.1860  76.0951  240.832  323  6.1954E+00  2.0998E+01
-46.2162  76.3153  240.720  324  6.2020E+00  2.1101E+01
-46.2461  76.5358  240.607  325  6.2083E+00  2.1205E+01
-46.2755  76.7566  240.494  326  6.2143E+00  2.1308E+01
-46.3044  76.9775  240.382  327  6.2202E+00  2.1412E+01
-46.3330  77.1987  240.269  328  6.2260E+00  2.1516E+01
-46.3611  77.4202  240.156  329  6.2317E+00  2.1620E+01
-46.3888  77.6418  240.044  330  6.2374E+00  2.1724E+01
-46.4161  77.8637  239.931  331  6.2430E+00  2.1828E+01
-46.4429  78.0858  239.819  332  6.2486E+00  2.1932E+01
-46.4693  78.3082  239.706  333  6.2544E+00  2.2036E+01
-46.4953  78.5307  239.594  334  6.2602E+00  2.2140E+01
-46.5208  78.7534  239.481  335  6.2660E+00  2.2245E+01
-46.5459  78.9764  239.369  336  6.2717E+00  2.2349E+01
-46.5706  79.1995  239.257  337  6.2774E+00  2.2454E+01
-46.5948  79.4229  239.145  338  6.2831E+00  2.2559E+01
-46.6186  79.6465  239.032  339  6.2888E+00  2.2663E+01
-46.6419  79.8702  238.920  340  6.2942E+00  2.2768E+01
-46.6649  80.0941  238.808  341  6.2993E+00  2.2873E+01
-46.6873  80.3183  238.697  342  6.3044E+00  2.2978E+01
-46.7094  80.5426  238.585  343  6.3095E+00  2.3084E+01
-46.7310  80.7671  238.473  344  6.3145E+00  2.3189E+01
-46.7521  80.9917  238.362  345  6.3196E+00  2.3294E+01
-46.7729  81.2166  238.250  346  6.3247E+00  2.3400E+01
-46.7931  81.4416  238.139  347  6.3299E+00  2.3505E+01
